{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 280, 'g5': 463, 'g6': 463}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 255, 'g5': 872, 'g6': 872}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 975, 'g5': 229, 'g6': 634}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 520, 'g5': 404, 'g6': 578}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 925, 'g5': 895, 'g6': 925}
{'g1': 180, 'g2': 0, 'g3': 0, 'g4': 954, 'g5': 954, 'g6': 954}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 24, 'g5': 24, 'g6': 23}
{'g1': 81, 'g2': 0, 'g3': 0, 'g4': 905, 'g5': 905, 'g6': 905}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 471, 'g5': 405, 'g6': 471}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 913, 'g5': 540, 'g6': 913}
{'g1': 46, 'g2': 0, 'g3': 0, 'g4': 363, 'g5': 363, 'g6': 363}
{'g1': 249, 'g2': 0, 'g3': 0, 'g4': 938, 'g5': 469, 'g6': 938}
{'g1': 82, 'g2': 0, 'g3': 0, 'g4': 259, 'g5': 209, 'g6': 260}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 7, 'g5': 76, 'g6': 260}
{'g1': 72, 'g2': 0, 'g3': 0, 'g4': 918, 'g5': 918, 'g6': 918}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 39, 'g5': 0, 'g6': 560}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 251, 'g5': 0, 'g6': 411}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 300, 'g5': 0, 'g6': 370}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 0, 'g6': 341}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 507, 'g5': 852, 'g6': 46}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 735, 'g5': 735, 'g6': 371}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 322, 'g5': 65, 'g6': 772}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 662, 'g5': 594, 'g6': 662}
